,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2005,Total,,,,,,,,,,,,,,,,"2,574",13,,,,,,,,,
2005,Enero,,,,,,,,,,,,,,,,250,1,,,,,,,,,
2005,Febrero,,,,,,,,,,,,,,,,208,2,,,,,,,,,
2005,Marzo,,,,,,,,,,,,,,,,230,1,,,,,,,,,
2005,Abril,,,,,,,,,,,,,,,,207,,,,,,,,,,
2005,Mayo,,,,,,,,,,,,,,,,201,1,,,,,,,,,
2005,Junio,,,,,,,,,,,,,,,,185,1,,,,,,,,,
2005,Julio,,,,,,,,,,,,,,,,188,,,,,,,,,,
2005,Agosto,,,,,,,,,,,,,,,,195,,,,,,,,,,
2005,Septiembre,,,,,,,,,,,,,,,,192,,,,,,,,,,
2005,Octubre,,,,,,,,,,,,,,,,230,,,,,,,,,,
2005,Noviembre,,,,,,,,,,,,,,,,244,,,,,,,,,,
2005,Diciembre,,,,,,,,,,,,,,,,244,7,,,,,,,,,
2006,Total,,,,,,,,,,,,,,,,,"2,385",6,1,,,,,,,
2006,Enero,,,,,,,,,,,,,,,,,253,,,,,,,,,
2006,Febrero,,,,,,,,,,,,,,,,,169,1,,,,,,,,
2006,Marzo,,,,,,,,,,,,,,,,,176,,,,,,,,,
2006,Abril,,,,,,,,,,,,,,,,,173,,,,,,,,,
2006,Mayo,,,,,,,,,,,,,,,,,199,,,,,,,,,
2006,Junio,,,,,,,,,,,,,,,,,171,,1,,,,,,,
2006,Julio,,,,,,,,,,,,,,,,,200,,,,,,,,,
2006,Agosto,,,,,,,,,,,,,,,,,175,,,,,,,,,
2006,Septiembre,,,,,,,,,,,,,,,,,174,,,,,,,,,
2006,Octubre,,,,,,,,,,,,,,,,,216,,,,,,,,,
2006,Noviembre,,,,,,,,,,,,,,,,,232,,,,,,,,,
2006,Diciembre,,,,,,,,,,,,,,,,,247,5,,,,,,,,
2007,Total,,,,,,,,,,,,,,,,,,"2,224",4,,,,,,,
2007,Enero,,,,,,,,,,,,,,,,,,213,,,,,,,,
2007,Febrero,,,,,,,,,,,,,,,,,,190,,,,,,,,
2007,Marzo,,,,,,,,,,,,,,,,,,174,,,,,,,,
2007,Abril,,,,,,,,,,,,,,,,,,175,,,,,,,,
2007,Mayo,,,,,,,,,,,,,,,,,,178,,,,,,,,
2007,Junio,,,,,,,,,,,,,,,,,,169,,,,,,,,
2007,Julio,,,,,,,,,,,,,,,,,,157,,,,,,,,
2007,Agosto,,,,,,,,,,,,,,,,,,174,,,,,,,,
2007,Septiembre,,,,,,,,,,,,,,,,,,177,,,,,,,,
2007,Octubre,,,,,,,,,,,,,,,,,,213,,,,,,,,
2007,Noviembre,,,,,,,,,,,,,,,,,,210,,,,,,,,
2007,Diciembre,,,,,,,,,,,,,,,,,,194,4,,,,,,,
2008,Total,,,,,,,,,,,,,,,,,,,"2,216",2,,,,,,
2008,Enero,,,,,,,,,,,,,,,,,,,234,,,,,,,
2008,Febrero,,,,,,,,,,,,,,,,,,,200,,,,,,,
2008,Marzo,,,,,,,,,,,,,,,,,,,179,,,,,,,
2008,Abril,,,,,,,,,,,,,,,,,,,158,,,,,,,
2008,Mayo,,,,,,,,,,,,,,,,,,,147,,,,,,,
2008,Junio,,,,,,,,,,,,,,,,,,,153,,,,,,,
2008,Julio,,,,,,,,,,,,,,,,,,,170,,,,,,,
2008,Agosto,,,,,,,,,,,,,,,,,,,182,,,,,,,
2008,Septiembre,,,,,,,,,,,,,,,,,,,179,,,,,,,
2008,Octubre,,,,,,,,,,,,,,,,,,,209,,,,,,,
2008,Noviembre,,,,,,,,,,,,,,,,,,,213,,,,,,,
2008,Diciembre,,,,,,,,,,,,,,,,,,,192,2,,,,,,
2009,Total,,,,,,,,,,,,,,,,,,,,"2,134",6,,,,,
2009,Enero,,,,,,,,,,,,,,,,,,,,194,,,,,,
2009,Febrero,,,,,,,,,,,,,,,,,,,,164,,,,,,
2009,Marzo,,,,,,,,,,,,,,,,,,,,189,,,,,,
2009,Abril,,,,,,,,,,,,,,,,,,,,161,,,,,,
2009,Mayo,,,,,,,,,,,,,,,,,,,,161,,,,,,
2009,Junio,,,,,,,,,,,,,,,,,,,,164,,,,,,
2009,Julio,,,,,,,,,,,,,,,,,,,,156,,,,,,
2009,Agosto,,,,,,,,,,,,,,,,,,,,161,,,,,,
2009,Septiembre,,,,,,,,,,,,,,,,,,,,156,,,,,,
2009,Octubre,,,,,,,,,,,,,,,,,,,,203,,,,,,
2009,Noviembre,,,,,,,,,,,,,,,,,,,,189,,,,,,
2009,Diciembre,,,,,,,,,,,,,,,,,,,,235,6,,,,,
2009,No especificado,,,,,,,,,,,,,,,,,,,,1,,,,,,
2010,Total,,,,,,,,,,,,,,,,,,,,,"2,040",4,,,,
2010,Enero,,,,,,,,,,,,,,,,,,,,,203,,,,,
2010,Febrero,,,,,,,,,,,,,,,,,,,,,172,,,,,
2010,Marzo,,,,,,,,,,,,,,,,,,,,,166,,,,,
2010,Abril,,,,,,,,,,,,,,,,,,,,,168,,,,,
2010,Mayo,,,,,,,,,,,,,,,,,,,,,157,,,,,
2010,Junio,,,,,,,,,,,,,,,,,,,,,145,,,,,
2010,Julio,,,,,,,,,,,,,,,,,,,,,145,,,,,
2010,Agosto,,,,,,,,,,,,,,,,,,,,,160,,,,,
2010,Septiembre,,,,,,,,,,,,,,,,,,,,,168,,,,,
2010,Octubre,,,,,,,,,,,,,,,,,,,,,169,,,,,
2010,Noviembre,,,,,,,,,,,,,,,,,,,,,166,,,,,
2010,Diciembre,,,,,,,,,,,,,,,,,,,,,221,4,,,,
2011,Total,,,,,,,,,,,,,,,,,,,,,,"1,963",5,,,
2011,Enero,,,,,,,,,,,,,,,,,,,,,,200,,,,
2011,Febrero,,,,,,,,,,,,,,,,,,,,,,155,,,,
2011,Marzo,,,,,,,,,,,,,,,,,,,,,,166,,,,
2011,Abril,,,,,,,,,,,,,,,,,,,,,,134,,,,
2011,Mayo,,,,,,,,,,,,,,,,,,,,,,141,,,,
2011,Junio,,,,,,,,,,,,,,,,,,,,,,153,,,,
2011,Julio,,,,,,,,,,,,,,,,,,,,,,161,,,,
2011,Agosto,,,,,,,,,,,,,,,,,,,,,,161,,,,
2011,Septiembre,,,,,,,,,,,,,,,,,,,,,,148,,,,
2011,Octubre,,,,,,,,,,,,,,,,,,,,,,167,,,,
2011,Noviembre,,,,,,,,,,,,,,,,,,,,,,194,2,,,
2011,Diciembre,,,,,,,,,,,,,,,,,,,,,,183,3,,,
2012,Total,,,,,,,,,,,,,,,,,,,,,,,"1,864",4,,
2012,Enero,,,,,,,,,,,,,,,,,,,,,,,192,,,
2012,Febrero,,,,,,,,,,,,,,,,,,,,,,,165,,,
2012,Marzo,,,,,,,,,,,,,,,,,,,,,,,143,,,
2012,Abril,,,,,,,,,,,,,,,,,,,,,,,139,,,
2012,Mayo,,,,,,,,,,,,,,,,,,,,,,,137,,,
2012,Junio,,,,,,,,,,,,,,,,,,,,,,,143,,,
2012,Julio,,,,,,,,,,,,,,,,,,,,,,,141,,,
2012,Agosto,,,,,,,,,,,,,,,,,,,,,,,155,,,
2012,Septiembre,,,,,,,,,,,,,,,,,,,,,,,155,,,
2012,Octubre,,,,,,,,,,,,,,,,,,,,,,,154,,,
2012,Noviembre,,,,,,,,,,,,,,,,,,,,,,,161,1,,
2012,Diciembre,,,,,,,,,,,,,,,,,,,,,,,179,3,,
2013,Total,,,,,,,,,,,,,,,,,,,,,,,,"1,763",3,
2013,Enero,,,,,,,,,,,,,,,,,,,,,,,,201,,
2013,Febrero,,,,,,,,,,,,,,,,,,,,,,,,142,,
2013,Marzo,,,,,,,,,,,,,,,,,,,,,,,,157,,
2013,Abril,,,,,,,,,,,,,,,,,,,,,,,,136,,
2013,Mayo,,,,,,,,,,,,,,,,,,,,,,,,139,,
2013,Junio,,,,,,,,,,,,,,,,,,,,,,,,121,,
2013,Julio,,,,,,,,,,,,,,,,,,,,,,,,138,,
